delivery_no,customer_name,delivery_date,source_sheet,remarks
KSD260301,KSD,2026-03-06 00:00:00,KSD,
YN2510003,福建省莆田市亿宁鞋业有限公司,2025-10-20 00:00:00,亿宁,
JX2501002,健森（星鸿仟),2025-05-18 00:00:00,健森,
YF230701,福建省莆田市协龙鞋业有限公司,2023-07-03 00:00:00,协龙,
SHY2601029,福建省莆田市双源鞋业有限公司,2026-01-31 00:00:00,双源大货,
SHL2505055,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,双联,
JS260101,福州吉升科技有限公司,2026-01-30 00:00:00,吉升,
HM250601,和睦,2025-06-11 00:00:00,和睦,
DCH231201,宁波征创,2023-12-23 00:00:00,宁波征创,
DF2506001,宁波顶峰户外服饰有限公司,2025-06-04 00:00:00,宁波顶峰,
AH260316,莆田安健致远鞋业限公司,2026-03-08 00:00:00,安健,
AH2603019,福建安恒致远鞋业有限公司,2026-03-08 00:00:00,安恒,
XYL260201,莆田市小月亮鞋业有限公司,2026-02-02 00:00:00,小月亮,
KS2603001,莆田市康硕鞋服有限公司,2026-03-04 00:00:00,康硕,
HX2601005,莆田市城厢区恒鑫鞋材有限公司,2026-02-02 00:00:00,恒鑫,
MK251101,福州明康商贸有限公司,2025-11-27 00:00:00,明康,
YF240501,莆田易发鞋业有限公司,2024-05-08 00:00:00,易发,
HSXC2401001,福建星成鞋业有限公司,2024-01-08 00:00:00,星成(黄石),
XC2603010,莆田市星联鞋业有限公司,2026-03-07 00:00:00,星昌.星联,
JX2504003,来克,2025-04-30 00:00:00,来克,
SC241204,江西双驰,2024-12-30 00:00:00,江西双驰,
HJ2406001,福建泓捷鞋业有限公司,2024-06-06 00:00:00,泓捷,
TBDH2503002,特步,2025-03-22 00:00:00,特步大货,
XJ25012006,现金客户,2025-12-19 00:00:00,现金,
YX2601002,莆田市盈兴鞋业,2026-01-05 00:00:00,盈兴,
XLX260101,祥隆星(福建)进出口贸易有限公司,2026-01-21 00:00:00,祥隆星,
XC260201,福恩娃,2026-02-03 00:00:00,福恩娃,
FSH2601002,福盛和,2026-01-31 00:00:00,福盛和,
FLDH260202,安迪星（福建）体育用品有限责任公司,2026-02-03 00:00:00,福联大货,
LD251103,福建省莆田市联大鞋业有限公司,2025-11-20 00:00:00,联大,
LC250903,莆田市联成众合贸易有限公司,2025-09-22 00:00:00,联成-阳硕革料,
DS251001,莆田市联成众合贸易有限公司,2025-10-30 00:00:00,联成-鼎盛布料,
APEX2603006,福建安恒致远鞋业有限公司（越南）,2026-03-08 00:00:00,越南安恒_,
