supplier_code,name
双辉,双辉
双锦/大丰,双锦/大丰
联盛/泓大,联盛/泓大
鑫达盛,鑫达盛
宝辉,宝辉
盛玮,盛玮
双辉/金宏盛,双辉/金宏盛
荣翔/金宏盛,荣翔/金宏盛
峰星,峰星
双锦,双锦
华宇/金宏盛,华宇/金宏盛
永顺,永顺
永顺/金宏盛,永顺/金宏盛
福泽,福泽
荣翔/大丰,荣翔/大丰
荣翔,荣翔
联盛,联盛
峰星/莆田染,峰星/莆田染
大林/大丰,大林/大丰
英利明/大丰,英利明/大丰
大林,大林
英利明,英利明
大林/莆田,大林/莆田
双锦/泓大,双锦/泓大
尚好,尚好
鑫达盛/大丰,鑫达盛/大丰
华宇,华宇
裕泰/金宏盛,裕泰/金宏盛
峰星/大丰,峰星/大丰
双辉/泓大,双辉/泓大
双辉/大丰,双辉/大丰
泉亿,泉亿
联盛/金宏盛,联盛/金宏盛
联盛/大丰,联盛/大丰
梦锦,梦锦
海辉/大丰,海辉/大丰
福泽/大丰,福泽/大丰
海辉,海辉
鸿顺,鸿顺
宏溢/金宏盛,宏溢/金宏盛
柄亿,柄亿
鸿泰行,鸿泰行
四海,四海
一纺/泓大,一纺/泓大
一纺,一纺
佰盛,佰盛
鑫茂,鑫茂
顺发,顺发
左为,左为
杰成,杰成
柄亿/泓大,柄亿/泓大
华宇/大丰,华宇/大丰
客富/金宏盛,客富/金宏盛
峰星/金宏盛,峰星/金宏盛
华宇/金宏盛/大丰,华宇/金宏盛/大丰
弘发,弘发
升大/金宏盛,升大/金宏盛
荣翔/泓大,荣翔/泓大
海辉/恒泰,海辉/恒泰
联盛/,联盛/
盛玮/泓大,盛玮/泓大
中邦/大丰,中邦/大丰
峰星/勇宏,峰星/勇宏
泰盛/金宏盛,泰盛/金宏盛
双锦/奔达,双锦/奔达
佳盛,佳盛
润佳,润佳
盛玮/大丰,盛玮/大丰
铭超,铭超
盛玮/金宏盛,盛玮/金宏盛
莆田染,莆田染
华融,华融
信义,信义
双辉/友谊,双辉/友谊
鑫达盛/泓大,鑫达盛/泓大
王涛/大丰,王涛/大丰
王涛/金宏盛,王涛/金宏盛
华宇金宏盛,华宇金宏盛
宝胜/大丰,宝胜/大丰
泰盛/大丰,泰盛/大丰
信和,信和
盛玮/勇宏,盛玮/勇宏
友恒/金宏盛,友恒/金宏盛
福泽/恒泰,福泽/恒泰
尚好/金宏盛,尚好/金宏盛
客富/泓大,客富/泓大
泉亿/大丰,泉亿/大丰
英利明/泓大,英利明/泓大
泓大,泓大
博祥/金宏盛,博祥/金宏盛
中邦,中邦
双辉/优宜,双辉/优宜
峰星/泓大,峰星/泓大
王涛//泓大,王涛//泓大
三友,三友
南方信亿/,南方信亿/
邦达,邦达
盛玮/,盛玮/
双辉/勇宏,双辉/勇宏
友恒,友恒
一坊,一坊
日新,日新
盛玮/莆田,盛玮/莆田
宏溢/莆田,宏溢/莆田
荣翔/莆田染,荣翔/莆田染
金宏盛,金宏盛
宏境,宏境
宝胜/金宏盛,宝胜/金宏盛
大顺,大顺
泉亿/泓大,泉亿/泓大
联盛/莆田,联盛/莆田
博祥/金宏盛/大丰,博祥/金宏盛/大丰
龙林/金宏盛,龙林/金宏盛
龙林,龙林
野马,野马
日新发,日新发
兴林/大丰,兴林/大丰
联盛/喷色,联盛/喷色
广益,广益
双辉/快捷,双辉/快捷
联盛/华科,联盛/华科
鑫达盛/莆田,鑫达盛/莆田
宏溢/华科,宏溢/华科
华融/华科,华融/华科
海辉/莆田,海辉/莆田
宏溢/金宏盛/大丰/华科,宏溢/金宏盛/大丰/华科
宏溢/金宏盛/大丰,宏溢/金宏盛/大丰
宏溢/大丰/华科,宏溢/大丰/华科
华宇/华科,华宇/华科
泰盛,泰盛
盛玮/华科,盛玮/华科
伟鑫,伟鑫
双辉大丰,双辉大丰
抵扣安恒库存,抵扣安恒库存
英利明/莆田染,英利明/莆田染
东红,东红
英利明/莆田,英利明/莆田
客富/华科,客富/华科
峰星/华科,峰星/华科
泰盛/华科,泰盛/华科
一坊/大丰,一坊/大丰
宝胜,宝胜
泉亿/华科,泉亿/华科
荣翔/华科,荣翔/华科
港丰/金宏盛,港丰/金宏盛
鑫达盛/金宏盛,鑫达盛/金宏盛
瑞亿,瑞亿
三友/老郭,三友/老郭
华融/大丰,华融/大丰
南方信亿/大丰,南方信亿/大丰
金鸿亿,金鸿亿
中正,中正
双辉/华科,双辉/华科
大顺/金宏盛,大顺/金宏盛
大顺/大丰/金宏盛,大顺/大丰/金宏盛
涵晨/金宏盛,涵晨/金宏盛
荣翔/盛翔,荣翔/盛翔
扣库/金宏盛,扣库/金宏盛
盛玮/盛翔,盛玮/盛翔
昌鹏,昌鹏
昌鹏/大丰,昌鹏/大丰
联盛/盛翔,联盛/盛翔
港丰,港丰
润佳/大丰,润佳/大丰
锦华/涵晨,锦华/涵晨
锦华/金宏盛,锦华/金宏盛
客富/涵晨,客富/涵晨
泉亿/盛翔,泉亿/盛翔
宏溢/盛翔,宏溢/盛翔
宏溢/泓大,宏溢/泓大
日兴发,日兴发
兴林/盛翔,兴林/盛翔
浩发,浩发
润佳/盛翔,润佳/盛翔
涵宇,涵宇
锦华/盛翔,锦华/盛翔
华宇/盛翔,华宇/盛翔
锦华/亨达力,锦华/亨达力
双辉/盛翔,双辉/盛翔
博星,博星
友谊/金宏盛,友谊/金宏盛
港丰/盛翔,港丰/盛翔
一坊/泓大,一坊/泓大
锦华/大丰,锦华/大丰
华融/金宏盛,华融/金宏盛
锦华/泓大,锦华/泓大
盛翔,盛翔
友谊,友谊
华融/盛翔,华融/盛翔
南方信亿,南方信亿
王涛/盛翔,王涛/盛翔
星南,星南
大丰,大丰
鑫茂/喷色,鑫茂/喷色
中邦/金宏盛,中邦/金宏盛
扣库/大丰,扣库/大丰
嘉胜/大丰,嘉胜/大丰
嘉胜,嘉胜
嘉胜/盛翔,嘉胜/盛翔
浪亚/盛翔,浪亚/盛翔
鑫达盛/,鑫达盛/
一坊/盛翔,一坊/盛翔
扣库/柄亿,扣库/柄亿
路丰,路丰
客富/盛翔,客富/盛翔
扣库/勇宏,扣库/勇宏
路丰/盛翔,路丰/盛翔
联盛/盛翔/大丰,联盛/盛翔/大丰
勇宏,勇宏
左为/喷,左为/喷
浩通（佳诚）,浩通（佳诚）
荣翔/勇宏,荣翔/勇宏
盛翔/分化,盛翔/分化
分化,分化
南方信亿/盛翔,南方信亿/盛翔
双锦分化,双锦分化
盛翔/盛翔,盛翔/盛翔
恒源/盛翔,恒源/盛翔
鑫达盛/盛翔,鑫达盛/盛翔
柄亿/大丰,柄亿/大丰
双锦/盛翔,双锦/盛翔
峰星/盛翔,峰星/盛翔
新明祥,新明祥
中盛,中盛
欣源/盛翔,欣源/盛翔
四海/喷,四海/喷
友谊/盛翔,友谊/盛翔
双龙/盛翔,双龙/盛翔
双锦/福华,双锦/福华
中大,中大
易威,易威
四海/喷色,四海/喷色
双龙/大丰,双龙/大丰
宏溢/大丰,宏溢/大丰
港丰/大丰,港丰/大丰
友谊/喷色,友谊/喷色
东运,东运
东运/盛翔,东运/盛翔
欣昌俊,欣昌俊
盛伟,盛伟
泰盛/盛翔,泰盛/盛翔
盛伟/盛翔,盛伟/盛翔
