泉州阳硕鞋材有限公司,,,,,,,,运费我们付，签单,,
送 货 单,,,,,,,,,,
收货单位：福建省莆田市亿宁鞋业有限公司,,,,NO.：,YN2510003,,,,,
地 址：福建省莆田市涵江区国欢镇国欢西路1888号,,,,送货日期：,2025-10-20 00:00:00,,,,,
订单号,品名及规格,颜色,数量,单位,支数,单价,金额,,,
YH25044A-1.2BLACK,"丝光经编布58""",灰色12-4302TPG,50,码,1,,,YN2510001,2025-10-04 00:00:00,
,小缸费,灰色12-4302TPG,1,个,,,,YN2510001,2025-10-04 00:00:00,
YH25044B-1.2GREY,"丝光经编布58""",粉色11-0603TPG,40,码,1,,,YN2510001,2025-10-04 00:00:00,
,小缸费,粉色11-0603TPG,1,个,,,,YN2510001,2025-10-04 00:00:00,
YH25044A-1.2BLACK,"丝光经编布58""",黑色,20,码,1,,,YN2510002,2025-10-08 00:00:00,
YH25044B-1.2GREY,"HSW32 P6纹 单层网布56""",灰色12-4302TPG,6,Y,1包,,寄顺丰,YN2510003,2025-10-20 00:00:00,
合   计,,,6,Y,1,,,YN2510003,2025-10-20 00:00:00,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,
收货单位签章：,,,,,送货单位签章：戴春莲,,,,,
第一联：存根(白)       第二联：客户(红)       第三联：请款(蓝)        第四联：仓库(黄),,,,,,,,,,
