泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2023年7月份样品请款明细,,,,,,,,,,,,,,
TO：,福建省莆田市协龙鞋业有限公司,,,,,,,,,,,,,
ATTN：,蒋小姐,,,,,,币别:人民币,,,,,,,
日 期,送货单号,订单号,型体,名称及规格,数量,单位,支数,单价  (RMB),染费,金额(元),备注,,,
2023-03-08 00:00:00,YF230301,CC23020304,AETREX/23/006-01/02,"黑色提花天鹅绒54""",6,Y,,9.5,,57,,,,
2023-03-08 00:00:00,YF230301,CC23020304,AETREX/23/006-03,"Grey1提花天鹅绒54""",5,Y,,9.5,300,347.5,,,,
2023-03-08 00:00:00,YF230301,CC23020304,AETREX/23/006-04,"Dark Chambray提花天鹅绒54""",5,Y,,9.5,300,347.5,,,,
2023-03-08 00:00:00,YF230301,CC23020304,AETREX/23/006-05,"18-4018TPX提花天鹅绒54""",5,Y,,9.5,300,347.5,,,,
2023-03-08 00:00:00,YF230301,CC23020304,AETREX/23/006-06,"Strom Cloud提花天鹅绒54""",5,Y,,9.5,300,347.5,,,,
2023-05-07 00:00:00,YF230501,CC23050005,爱鞋仕/SS/006,"黑色提花天鹅绒54""",5,Y,,9.5,,47.5,,,,
2023-05-07 00:00:00,YF230501,CC23050005,爱鞋仕/SS/006,"浅灰提花天鹅绒54""",5,Y,,9.5,300,347.5,,,,
2023-05-07 00:00:00,YF230501,CC23050005,爱鞋仕/SS/006,"蓝色提花天鹅绒54""",5,Y,,9.5,300,347.5,,,,
2023-05-07 00:00:00,YF230501,CC23050005,爱鞋仕/SS/006,"深灰提花天鹅绒54""",5,Y,,9.5,300,347.5,,,,
2023-07-03 00:00:00,YF230701,FA23060220,"AFB0418-0008
通用","灰色提花天鹅绒54""",8,Y,,9.5,300,376,,,,
,,,,以下空白,,,,,,,,,,
,,,,合       计：,54,,,,,2913,,,,
,,,,人民币大写：,贰仟玖佰壹拾叁元整,,,,,,,,,
客户回签:,,,,审  核：,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,
