泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,,,
送 货 单,,,,,,,,,,,,,,,
收货单位：莆田易发鞋业有限公司,,,,,,NO.：,YF240501,,,,,,,,
地址：莆田市城厢区华亭镇竹林路怡昌2133号,,,,,,,送货日期：,2024-05-08 00:00:00,,,,,,,
订单号,指令/型体,名称及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,
,Smiley 笑脸,YS-218 内里网布,檸檬(13-0752 TPG),3,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,雪松綠(18-0328 TPG),3,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,清静灰(14-4107TPG),5,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,灰白(12-0304 TPG),3,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,黑玉色(19-0303 TPG),5,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,泰藍西亞紫(19-3638 TPG),3,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,原古白(11-0606 TPG),3,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,勉強粉(12-2906 TPG),3,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,白鶯色(11-0103 TPG),5,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,水晶粉(12-1605 TPG),3,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,晚禮服(19-4024 TPG),2,Y,,,,,YF-Y240401,2024-04-08 00:00:00,,,,
,Smiley 笑脸,YS-218 内里网布,明亮白(11-0601 TPG),3,Y,,,,,YF-Y240402,2024-04-09 00:00:00,,,,
,Smiley 笑脸,小米通布 200g,晚禮服(19-4024 TPG),1,Y,,,,,YF-Y240402,2024-04-09 00:00:00,,,,
,Smiley 笑脸,小米通布 200g,白色+ 分化笑脸图案参考彩图,1,Y,,,,,YF-Y240403,2024-04-10 00:00:00,,,,
,Smiley 笑脸,小米通布 200g,白色+分化图片,1,Y,,,,,YF-Y240403,2024-04-10 00:00:00,,,,
SS25,CYCLEUR DE LUXE,"环保涤纶网布 54""",白色,10,Y,,,,,YF-Y240404,2024-04-30 00:00:00,,,,
SS25,CYCLEUR DE LUXE,"环保涤纶网布 54""",白色,5,Y,,,,,YF-Y240405,2024-05-10 00:00:00,,,,
SS25,CYCLEUR DE LUXE,Ys-k086单层网,月岩色14-4201TCX,3,Y,,,,,YF-Y240405,2024-05-10 00:00:00,,,,
SS25,CYCLEUR DE LUXE,Ys-k086 单层网,白色,1,Y,,,,,YF-Y240405,2024-05-10 00:00:00,,,,
SS24,小花,丝光布,霜灰(12-6207 TPG),1,Y,,,,,YF-Y240406,2024-05-13 00:00:00,,,,
,,YS-1583三层网,七彩,1,Y,,,,,YF-Y240407,2024-05-14 00:00:00,,,,
,,YS-1583三层网,黑色,1,Y,,,,,YF-Y240407,2024-05-14 00:00:00,,,,
YF24033-34,,"环保涤纶网布54""",咖啡色,100,Y,1,,,,YF240501,2024-05-08 00:00:00,,,,
合        计,,,,100,Y,1,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,YF240501,2024-05-08 00:00:00,,,,
收货单位签章：,,,,,,,,送货单位签章：戴春莲,,,,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,,,
