泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,,,,,
收货单位：江西双驰,,,,,,NO.：,SC241204,,,,,,,,,,,,,,,,,,
地    址：江西,,,,,,送货日期：,2024-12-30 00:00:00,,,,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,,,,
4510165775,1J000442,WD002218,"200G R609网布透气防臭54""",蛋奶灰色,1,码,1包,,,,SC241112,2024-11-29 00:00:00,,,,,,,,,,,,,
4510165775,1J000442,WD002218,"200G R609网布透气防臭54""",蛋奶灰色,1,码,1包,,,,SC241201,2024-12-02 00:00:00,,,,,,,,,,,,,
4510169375,1J000571,WD001961,"180-200G 涤方格布56""",云雾灰色,3,码,1包,,,,SC241202,2024-12-19 00:00:00,,,,,,,,,,,,,
4510170459,1J000615,WJ000405,"150G佳积布56""",尔克白色,265,码,2,,,,SC241203,2024-12-26 00:00:00,,,,,,,,,,,,,
,,,132+133=265,,,,,,,,SC241203,2024-12-26 00:00:00,,,,,,,,,,,,,
4510170459,1J000615,WJ000406,"150G佳积布56""",正黑色,247,码,2,,,,SC241204,2024-12-30 00:00:00,,,,,,,,,,,,,
,,,130+117=247,,,,,,,,SC241204,2024-12-30 00:00:00,,,,,,,,,,,,,
4510172120,1J000534,WD002745,"250-270G天鹅绒提花布54""",正黑色,2,码,1包,,,,SC241204,2024-12-30 00:00:00,,,,,,,,,,,,,
4510171951,1J000690\1J000691\1J000693\1J000694,WD001755,"250G低弹平布54""",白色,126,码,1,,,,SC241204,2024-12-30 00:00:00,,,,,,,,,,,,,
4510171951,1J000689,WD001756,"250G低弹平布54""",黑色,65,码,1,,,,SC241204,2024-12-30 00:00:00,,,,,,,,,,,,,
合        计,,,,,710,码,4,,,,,,,,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,,SC241204,2024-12-30 00:00:00,,,,,,,,,,,,,
收货单位签章：,,,,,,,,,送货单位签章：戴春莲,,,,,,,,,,,,,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,,,,,,,,,,,,,
300码以下记得开小缸费,,,,,,,,,,,,,,,,,,,,,,,,,
