泉州阳硕鞋材有限公司,,,,,,,,,,,,,实际单价：佳积布3.4//经编4.2,,,
2026年01月份大货帐单,,,,,,,,,,,,,业 务 费：佳积布0.9//经编3.6,,,
TO：,福盛和,,,,,,,,,,,,,,,
ATTN：,余先生,,,,,,,币别:人民币,,,,,,,,
日 期,送货单号,订单号,指令/型体,名称及规格,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注,,,,
2026-01-14 00:00:00,FSH2512002,,,150g佳织布,本白,610,Y,,4,,2440,,,,,
2026-01-27 00:00:00,FSH2601001,26026A,12255906,D01网布,炭黑19-4007TPX,243,码,,3.6,,874.8,,,,,
2026-01-27 00:00:00,FSH2601001,26026B,12255906,D01网布,亮白11-0601TPX,243,码,,3.6,,874.8,,,,,
2026-01-27 00:00:00,FSH2601001,26026A,12255906,三明治网布,炭黑19-4007TPX,79,码,,12.5,,987.5,,,,,
2026-01-27 00:00:00,FSH2601001,26026B,12255906,三明治网布,亮白11-0601TPX,79,码,,12.5,,987.5,,,,,
2026-01-31 00:00:00,FSH2601002,25101,,"YS607山东绸   56""",粉色,86,码,,6.45,300,854.7,,,,,
2026-01-31 00:00:00,FSH2601002,25101,,"180G 佳质布 54""",粉色,330,码,,4.3,,1419,,,,,
,,,,以下空白,,,,,,,,,,,,
,,,,合       计：,,1670,,,,,8438.3,,,,,
,,,,人民币大写：,捌仟肆佰叁拾捌元叁角整,,,,,,,,,,,
客户回签:,,,,审  核：,,,,,,,制　表：戴春莲,,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,,,
